Time,A_x [g],A_y [g],A_z [g]
5.000446,0.0,0.795328,0.46784
5.001186,0.0,0.795328,0.514624
5.001926,0.0,0.795328,0.46784
5.002666,0.0,0.795328,0.514624
5.003406,0.0,0.795328,0.46784
5.004146,0.0,0.795328,0.514624
5.004886,0.0,0.842112,0.514624
5.005626,0.0,0.795328,0.514624
5.006365,0.0,0.795328,0.561408
5.007105,0.0,0.795328,0.561408
5.007845,0.046784,0.795328,0.561408
5.008585,0.0,0.842112,0.46784
5.009325,0.0,0.888896,0.46784
5.010065,0.0,0.842112,0.46784
5.010805,0.0,0.795328,0.46784
5.011545,0.0,0.795328,0.514624
5.012285,0.0,0.795328,0.514624
5.013025,0.0,0.795328,0.514624
5.013765,0.046784,0.795328,0.514624
5.014505,0.0,0.795328,0.514624
5.015245,-0.046784,0.795328,0.514624
5.015985,0.0,0.795328,0.514624
5.016725,0.0,0.795328,0.514624
5.017465,0.046784,0.842112,0.514624
5.018205,0.0,0.888896,0.514624
5.018945,0.046784,0.842112,0.514624
5.019685,0.046784,0.795328,0.561408
5.020425,0.0,0.795328,0.514624
5.021165,0.0,0.842112,0.514624
5.021905,0.0,0.795328,0.561408
5.022645,0.0,0.795328,0.561408
5.023385,0.0,0.842112,0.514624
5.024125,0.046784,0.795328,0.46784
5.024865,0.0,0.795328,0.46784
5.025604,0.0,0.795328,0.46784
5.026344,0.046784,0.842112,0.514624
5.027084,0.046784,0.842112,0.514624
5.027824,0.0,0.795328,0.514624
5.028564,0.0,0.795328,0.46784
5.029304,0.0,0.795328,0.46784
5.030044,0.046784,0.795328,0.514624
5.030784,0.0,0.842112,0.46784
5.031524,0.046784,0.842112,0.46784
5.032264,0.046784,0.842112,0.46784
5.033004,0.0,0.842112,0.46784
5.033744,0.0,0.795328,0.46784
5.034484,0.0,0.795328,0.46784
5.035224,0.0,0.795328,0.46784
5.035964,0.0,0.842112,0.421056
5.036704,0.046784,0.842112,0.421056
5.037444,0.0,0.842112,0.46784
5.038184,0.046784,0.795328,0.46784
5.038924,0.0,0.795328,0.46784
5.039664,0.046784,0.842112,0.46784
5.040404,0.0,0.842112,0.514624
5.041144,0.0,0.842112,0.514624
5.041884,0.0,0.795328,0.46784
5.042624,0.0,0.795328,0.46784
5.043364,-0.046784,0.795328,0.514624
5.044104,-0.046784,0.795328,0.514624
5.044844,0.0,0.795328,0.514624
5.045583,-0.046784,0.842112,0.514624
5.046323,0.0,0.842112,0.514624
5.047063,-0.046784,0.842112,0.46784
5.047803,0.0,0.842112,0.514624
5.048543,0.046784,0.842112,0.46784
5.049283,0.0,0.842112,0.46784
5.050023,0.046784,0.842112,0.46784
5.050763,0.0,0.842112,0.46784
5.051503,0.0,0.795328,0.46784
5.052243,0.0,0.842112,0.46784
5.052983,0.0,0.842112,0.46784
5.053723,0.046784,0.795328,0.46784
5.054463,0.046784,0.795328,0.46784
5.055203,0.046784,0.842112,0.46784
5.055943,0.0,0.842112,0.46784
5.056683,0.0,0.795328,0.46784
5.057423,0.0,0.842112,0.46784
5.058163,-0.046784,0.795328,0.46784
5.058903,-0.046784,0.842112,0.46784
5.059643,0.046784,0.842112,0.46784
5.060383,0.0,0.795328,0.514624
5.061123,0.0,0.795328,0.514624
5.061863,0.0,0.795328,0.46784
5.062603,0.0,0.795328,0.46784
5.063343,0.0,0.795328,0.46784
5.064083,0.0,0.795328,0.46784
5.064822,0.0,0.842112,0.46784
5.065562,0.046784,0.842112,0.421056
5.066302,0.0,0.888896,0.421056
5.067042,0.0,0.842112,0.46784
5.067782,0.0,0.842112,0.46784
5.068522,0.0,0.842112,0.46784
5.069262,0.0,0.795328,0.46784
5.070002,0.0,0.842112,0.46784
5.070742,0.0,0.888896,0.46784
5.071482,-0.046784,0.842112,0.46784
5.072222,0.0,0.795328,0.514624
5.072962,-0.046784,0.842112,0.46784
5.073702,0.0,0.795328,0.46784
5.074442,0.0,0.795328,0.514624
5.075182,0.0,0.795328,0.514624
5.075922,0.0,0.842112,0.514624
5.076662,0.0,0.795328,0.46784
5.077402,0.0,0.795328,0.46784
5.078142,-0.046784,0.795328,0.514624
5.078882,0.0,0.795328,0.514624
5.079622,0.0,0.748544,0.46784
5.080362,0.0,0.795328,0.514624
5.081102,0.0,0.795328,0.561408
5.081842,0.0,0.795328,0.46784
5.082582,0.0,0.795328,0.46784
5.083322,0.0,0.842112,0.46784
5.084061,0.0,0.842112,0.421056
5.084801,0.0,0.795328,0.46784
5.085541,0.0,0.795328,0.514624
5.086281,0.046784,0.842112,0.46784
5.087021,0.0,0.795328,0.46784
5.087761,-0.046784,0.795328,0.46784
5.088501,-0.046784,0.842112,0.514624
5.089241,0.0,0.795328,0.421056
5.089981,0.0,0.795328,0.514624
5.090721,0.0,0.795328,0.46784
5.091461,0.0,0.842112,0.514624
5.092201,0.0,0.842112,0.46784
5.092941,0.0,0.842112,0.514624
5.093681,0.0,0.888896,0.514624
5.094421,-0.046784,0.842112,0.514624
5.095161,0.0,0.842112,0.514624
5.095901,0.0,0.842112,0.514624
5.096641,0.0,0.795328,0.514624
5.097381,-0.046784,0.842112,0.561408
5.098121,-0.046784,0.842112,0.514624
5.098861,0.0,0.842112,0.514624
5.099601,0.0,0.795328,0.514624
5.100341,0.0,0.795328,0.46784
5.101081,0.0,0.795328,0.46784
5.101821,0.046784,0.795328,0.46784
5.102561,0.0,0.842112,0.561408
5.103301,0.0,0.888896,0.46784
5.10404,0.0,0.842112,0.46784
5.10478,0.0,0.842112,0.46784
5.10552,0.0,0.842112,0.514624
5.10626,0.046784,0.842112,0.514624
5.107,0.0,0.842112,0.514624
5.10774,0.0,0.842112,0.46784
5.10848,0.0,0.842112,0.46784
5.10922,0.0,0.842112,0.46784
5.10996,0.0,0.842112,0.514624
5.1107,0.046784,0.842112,0.46784
5.11144,0.0,0.842112,0.421056
5.11218,0.0,0.795328,0.46784
5.11292,0.0,0.842112,0.46784
5.11366,0.0,0.842112,0.514624
5.1144,0.0,0.842112,0.514624
5.11514,0.0,0.795328,0.514624
5.11588,0.0,0.795328,0.514624
5.11662,-0.046784,0.842112,0.46784
5.11736,0.0,0.842112,0.514624
5.1181,0.0,0.842112,0.46784
5.11884,0.0,0.842112,0.46784
5.11958,0.0,0.842112,0.46784
5.12032,0.0,0.842112,0.46784
5.12106,0.0,0.842112,0.46784
5.1218,0.0,0.795328,0.46784
5.12254,0.046784,0.795328,0.46784
5.123279,0.046784,0.748544,0.421056
5.124019,0.046784,0.795328,0.46784
5.124759,0.0,0.795328,0.514624
5.125499,0.0,0.795328,0.514624
5.126239,0.0,0.842112,0.514624
5.126979,0.0,0.842112,0.514624
5.127719,0.0,0.842112,0.514624
5.128459,0.0,0.842112,0.514624
5.129199,0.0,0.842112,0.561408
5.129939,-0.046784,0.842112,0.561408
5.130679,0.0,0.842112,0.514624
5.131419,0.0,0.842112,0.514624
5.132159,0.0,0.842112,0.46784
5.132899,-0.046784,0.795328,0.46784
5.133639,0.0,0.795328,0.421056
5.134379,-0.046784,0.842112,0.46784
5.135119,0.0,0.795328,0.46784
5.135859,-0.046784,0.795328,0.46784
5.136599,0.0,0.795328,0.46784
5.137339,0.0,0.795328,0.46784
5.138079,0.046784,0.795328,0.514624
5.138819,0.0,0.795328,0.46784
5.139559,0.0,0.842112,0.46784
5.140299,0.046784,0.842112,0.46784
5.141039,0.0,0.842112,0.514624
5.141779,0.046784,0.795328,0.514624
5.142519,0.0,0.795328,0.46784
