Time,M_x [gauss],M_y [gauss],M_z [gauss]
5.003944,0.36,-0.006,-0.018
5.013711,0.336,-0.0135,-0.0285
5.023477,0.3255,-0.0075,-0.003
5.033243,0.33,0.0105,0.0195
5.04301,0.348,0.0255,0.0435
5.052777,0.3525,0.03,0.0495
5.062545,0.375,0.045,0.0525
5.072312,0.369,0.0315,0.0435
5.08208,0.3855,0.0195,0.009
5.091848,0.3705,0.0045,-0.0135
5.101615,0.354,-0.006,-0.024
5.111383,0.339,-0.0135,-0.021
5.121151,0.3315,-0.0015,-0.0105
5.130918,0.3255,0.0015,0.0165
5.140686,0.3405,0.0195,0.036
5.150453,0.351,0.0315,0.0555
5.160221,0.375,0.036,0.0585
5.169989,0.378,0.033,0.0495
5.179756,0.384,0.021,0.0165
5.189524,0.3675,0.0,-0.009
5.199291,0.3645,-0.0075,-0.024
5.209059,0.345,-0.0165,-0.018
5.218827,0.324,-0.006,-0.0135
5.228594,0.333,0.009,0.0165
5.238362,0.3405,0.0165,0.039
5.24813,0.348,0.0285,0.0495
5.257897,0.3675,0.033,0.057
5.267665,0.3735,0.036,0.0495
5.277432,0.384,0.015,0.018
5.2872,0.375,0.006,-0.003
5.296968,0.36,-0.0045,-0.018
5.306735,0.351,-0.0045,-0.021
5.316503,0.333,-0.003,-0.015
5.326271,0.3315,0.0015,0.0075
5.336038,0.336,0.0135,0.036
5.345806,0.3495,0.0345,0.063
5.355573,0.366,0.042,0.0555
5.365341,0.381,0.0285,0.06
5.375109,0.396,0.021,0.0225
5.384876,0.375,0.0105,-0.0045
5.394644,0.36,-0.012,-0.0165
5.404411,0.3465,-0.012,-0.018
5.414179,0.336,-0.012,-0.015
5.423947,0.33,-0.003,0.009
5.433714,0.336,0.009,0.0345
5.443482,0.3435,0.027,0.0435
5.45325,0.3675,0.036,0.0585
5.463017,0.378,0.039,0.0465
5.472785,0.3765,0.0225,0.0195
5.482552,0.384,0.012,0.006
5.49232,0.3585,-0.0075,-0.009
5.502088,0.3585,-0.0165,-0.024
5.511855,0.3255,-0.0105,-0.0225
5.521623,0.327,-0.0015,0.006
5.531391,0.3285,0.0225,0.0315
5.541158,0.3345,0.0255,0.048
5.550926,0.3585,0.036,0.054
5.560693,0.378,0.033,0.0495
5.570461,0.3795,0.0315,0.033
5.580229,0.3795,0.0015,0.012
5.589996,0.3645,0.006,-0.009
5.599764,0.3555,-0.0105,-0.024
5.609531,0.336,-0.015,-0.021
5.619299,0.3345,-0.003,-0.0045
5.629067,0.333,0.006,0.027
5.638834,0.3465,0.0135,0.0495
5.648602,0.3585,0.033,0.066
5.65837,0.3765,0.0315,0.0495
5.668137,0.3765,0.03,0.0405
5.677905,0.3855,0.0075,-0.0045
5.687672,0.3645,-0.0015,-0.0135
