Time,M_x [gauss],M_y [gauss],M_z [gauss]
5.004948,0.3015,-0.0585,-0.1275
5.014718,0.3195,-0.06,-0.141
5.024487,0.312,-0.0855,-0.168
5.034256,0.3135,-0.0885,-0.1935
5.044026,0.2895,-0.102,-0.2145
5.053796,0.2775,-0.1095,-0.216
5.063567,0.267,-0.1095,-0.2025
5.073338,0.2685,-0.1005,-0.168
5.083108,0.2685,-0.0795,-0.15
5.092879,0.282,-0.0705,-0.132
5.102649,0.312,-0.054,-0.1305
5.11242,0.3195,-0.0645,-0.1365
5.12219,0.3135,-0.078,-0.162
5.131961,0.3195,-0.093,-0.1845
5.141732,0.3015,-0.102,-0.21
5.151502,0.285,-0.111,-0.2115
5.161273,0.267,-0.105,-0.2145
5.171043,0.261,-0.1005,-0.18
5.180814,0.2715,-0.0765,-0.159
5.190584,0.279,-0.0615,-0.1395
5.200355,0.2955,-0.063,-0.1305
5.210126,0.315,-0.057,-0.1365
5.219896,0.3165,-0.0705,-0.15
5.229667,0.315,-0.087,-0.1845
5.239437,0.306,-0.093,-0.204
5.249208,0.2865,-0.114,-0.2115
5.258978,0.27,-0.108,-0.204
5.268749,0.2685,-0.102,-0.186
5.27852,0.264,-0.084,-0.1545
5.28829,0.279,-0.075,-0.1335
5.298061,0.2925,-0.054,-0.12
5.307831,0.312,-0.0645,-0.126
5.317602,0.3255,-0.0675,-0.153
5.327372,0.312,-0.0825,-0.177
5.337143,0.3045,-0.108,-0.2025
5.346914,0.2895,-0.1125,-0.2235
5.356684,0.282,-0.108,-0.2145
5.366455,0.264,-0.114,-0.1965
5.376225,0.264,-0.0855,-0.165
5.385996,0.2715,-0.078,-0.1365
5.395766,0.2925,-0.066,-0.1305
5.405537,0.303,-0.063,-0.135
5.415308,0.321,-0.0615,-0.144
5.425078,0.312,-0.072,-0.1725
5.434849,0.297,-0.099,-0.198
5.444619,0.2955,-0.1035,-0.207
5.45439,0.282,-0.1065,-0.2055
5.46416,0.2625,-0.1125,-0.1935
5.473931,0.261,-0.09,-0.171
5.483702,0.264,-0.078,-0.138
5.493472,0.291,-0.0645,-0.132
5.503243,0.2985,-0.0585,-0.126
5.513013,0.327,-0.06,-0.1335
5.522784,0.3255,-0.0825,-0.1725
5.532554,0.3165,-0.0945,-0.195
5.542325,0.288,-0.102,-0.2085
5.552096,0.2835,-0.114,-0.219
5.561866,0.2595,-0.108,-0.2055
5.571637,0.264,-0.1005,-0.183
5.581407,0.27,-0.084,-0.1485
5.591178,0.2865,-0.0675,-0.1335
5.600948,0.303,-0.066,-0.141
5.610719,0.318,-0.0555,-0.141
5.62049,0.3255,-0.078,-0.159
5.63026,0.3165,-0.084,-0.1875
5.640031,0.294,-0.096,-0.2055
5.649801,0.2865,-0.108,-0.219
5.659572,0.27,-0.1155,-0.2025
5.669342,0.2595,-0.102,-0.1815
5.679113,0.258,-0.084,-0.1545
5.688884,0.273,-0.072,-0.1365
5.698654,0.3,-0.0645,-0.1245
5.708425,0.3165,-0.057,-0.1365
5.718195,0.3195,-0.0615,-0.1575
5.727966,0.321,-0.087,-0.183
5.737736,0.306,-0.093,-0.207
5.747507,0.2835,-0.111,-0.2145
5.757278,0.282,-0.1035,-0.2085
5.767048,0.264,-0.1035,-0.195
5.776819,0.27,-0.0915,-0.1575
5.786589,0.2715,-0.0795,-0.1395
5.79636,0.2895,-0.0615,-0.129
5.80613,0.3075,-0.0615,-0.1305
5.815901,0.3225,-0.0615,-0.153
5.825672,0.315,-0.087,-0.1845
5.835442,0.3,-0.0945,-0.2025
5.845213,0.2865,-0.108,-0.2025
5.854983,0.2715,-0.111,-0.2085
5.864754,0.273,-0.105,-0.1965
5.874524,0.2625,-0.087,-0.1635
5.884295,0.273,-0.0765,-0.138
5.894066,0.2895,-0.0555,-0.126
5.903836,0.3135,-0.069,-0.126
5.913607,0.3225,-0.063,-0.144
5.923377,0.3135,-0.078,-0.1725
5.933148,0.315,-0.087,-0.195
5.942918,0.2955,-0.1125,-0.2085
5.952689,0.282,-0.108,-0.219
5.962459,0.27,-0.105,-0.2115
5.97223,0.27,-0.0945,-0.1755
5.982001,0.2625,-0.078,-0.1425
5.991771,0.2835,-0.0705,-0.1335
6.001542,0.294,-0.06,-0.1305
6.011312,0.3135,-0.066,-0.1425
6.021083,0.3195,-0.078,-0.174
6.030851,0.3135,-0.087,-0.1905
6.04062,0.294,-0.114,-0.213
6.050389,0.2835,-0.105,-0.213
6.060157,0.2595,-0.111,-0.2145
6.069926,0.2685,-0.105,-0.1785
6.079694,0.27,-0.075,-0.1545
6.089463,0.2745,-0.0675,-0.1305
6.099231,0.306,-0.0525,-0.1275
6.109,0.312,-0.0645,-0.1365
6.118768,0.318,-0.069,-0.1605
6.128537,0.312,-0.0825,-0.183
6.138305,0.309,-0.0975,-0.21
6.148074,0.2925,-0.1125,-0.219
6.157843,0.2685,-0.1125,-0.204
6.167611,0.261,-0.099,-0.189
6.17738,0.27,-0.0855,-0.1545
6.187148,0.2745,-0.0765,-0.1305
6.196917,0.297,-0.069,-0.135
6.206685,0.3,-0.063,-0.1335
6.216454,0.321,-0.075,-0.159
6.226222,0.3165,-0.081,-0.174
6.235991,0.303,-0.0915,-0.201
6.245759,0.288,-0.1095,-0.2085
6.255528,0.276,-0.1065,-0.2115
6.265297,0.264,-0.1095,-0.189
6.275065,0.261,-0.096,-0.162
6.284834,0.2655,-0.0675,-0.1365
6.294602,0.291,-0.063,-0.1305
6.304371,0.315,-0.054,-0.1215
6.314139,0.312,-0.0645,-0.1455
6.323908,0.315,-0.081,-0.1695
6.333676,0.3135,-0.087,-0.1935
6.343445,0.291,-0.105,-0.213
6.353213,0.2835,-0.1095,-0.207
6.362982,0.2715,-0.1005,-0.198
6.372751,0.2685,-0.093,-0.171
6.382519,0.276,-0.078,-0.144
6.392288,0.294,-0.066,-0.126
6.402056,0.303,-0.0585,-0.1305
6.411825,0.3255,-0.0645,-0.1425
6.421593,0.321,-0.084,-0.174
6.431362,0.3255,-0.1005,-0.1965
6.44113,0.3,-0.1005,-0.204
6.450899,0.2745,-0.1155,-0.225
6.460667,0.27,-0.1095,-0.207
6.470436,0.2715,-0.099,-0.1815
6.480205,0.264,-0.09,-0.15
