Time,A_x [g],A_y [g],A_z [g]
5.000317,0.0,0.795328,0.514624
5.001054,0.0,0.795328,0.561408
5.001792,0.046784,0.795328,0.561408
5.002529,0.0,0.795328,0.561408
5.003267,0.0,0.842112,0.514624
5.004004,0.0,0.842112,0.514624
5.004742,0.0,0.842112,0.514624
5.005479,0.046784,0.842112,0.46784
5.006217,0.0,0.888896,0.46784
5.006954,0.0,0.888896,0.46784
5.007692,0.0,0.842112,0.514624
5.008429,0.0,0.842112,0.514624
5.009167,-0.046784,0.842112,0.46784
5.009904,0.0,0.795328,0.46784
5.010642,0.0,0.795328,0.46784
5.011379,0.046784,0.795328,0.46784
5.012117,0.046784,0.842112,0.46784
5.012854,0.046784,0.795328,0.514624
5.013592,0.0,0.795328,0.514624
5.014329,0.0,0.795328,0.46784
5.015067,0.046784,0.795328,0.514624
5.015804,0.0,0.795328,0.514624
5.016542,-0.046784,0.795328,0.514624
5.017279,-0.046784,0.795328,0.46784
5.018017,0.0,0.795328,0.46784
5.018754,0.046784,0.842112,0.46784
5.019492,0.046784,0.795328,0.514624
5.020229,0.046784,0.795328,0.514624
5.020967,0.0,0.748544,0.514624
5.021704,0.0,0.748544,0.514624
5.022442,0.0,0.795328,0.514624
5.023179,0.0,0.795328,0.46784
5.023917,0.0,0.795328,0.46784
5.024654,-0.046784,0.795328,0.46784
5.025392,0.0,0.795328,0.514624
5.026129,0.046784,0.748544,0.514624
5.026867,0.046784,0.795328,0.514624
5.027604,0.046784,0.795328,0.46784
5.028342,0.0,0.795328,0.46784
5.029079,0.0,0.795328,0.46784
5.029817,0.0,0.842112,0.46784
5.030554,0.0,0.795328,0.46784
5.031292,0.046784,0.795328,0.514624
5.032029,0.0,0.795328,0.46784
5.032767,0.0,0.795328,0.514624
5.033504,0.0,0.795328,0.46784
5.034242,0.0,0.795328,0.514624
5.034979,0.0,0.842112,0.514624
5.035717,0.046784,0.842112,0.514624
5.036454,0.0,0.842112,0.46784
5.037192,0.0,0.842112,0.46784
5.037929,0.0,0.842112,0.46784
5.038667,0.0,0.842112,0.514624
5.039404,0.0,0.888896,0.514624
5.040142,0.0,0.842112,0.46784
5.040879,0.0,0.842112,0.46784
5.041617,0.0,0.795328,0.514624
5.042354,0.046784,0.795328,0.514624
5.043092,-0.046784,0.795328,0.46784
5.043829,-0.046784,0.795328,0.46784
5.044567,-0.046784,0.795328,0.514624
5.045304,0.0,0.842112,0.46784
5.046042,0.046784,0.842112,0.46784
5.046779,0.046784,0.795328,0.46784
5.047517,0.0,0.795328,0.421056
5.048254,0.0,0.842112,0.46784
5.048992,0.0,0.795328,0.514624
5.049729,0.046784,0.795328,0.46784
5.050467,0.046784,0.795328,0.46784
5.051204,0.046784,0.842112,0.514624
5.051942,0.0,0.795328,0.514624
5.052679,0.046784,0.795328,0.514624
5.053417,0.0,0.795328,0.514624
5.054154,0.0,0.795328,0.514624
5.054892,-0.046784,0.795328,0.514624
5.055629,0.0,0.842112,0.514624
5.056367,0.0,0.842112,0.46784
5.057104,0.0,0.795328,0.514624
5.057842,0.0,0.842112,0.561408
5.058579,0.0,0.795328,0.514624
5.059317,0.0,0.842112,0.514624
5.060054,0.046784,0.795328,0.46784
5.060792,0.046784,0.795328,0.46784
5.061529,0.0,0.795328,0.46784
5.062267,0.0,0.795328,0.46784
5.063004,-0.046784,0.842112,0.46784
5.063742,-0.046784,0.842112,0.46784
5.064479,-0.046784,0.842112,0.514624
5.065217,0.0,0.842112,0.46784
5.065954,0.0,0.842112,0.46784
5.066692,0.046784,0.842112,0.46784
5.067429,0.0,0.795328,0.46784
5.068167,0.046784,0.842112,0.514624
5.068905,0.0,0.842112,0.514624
5.069642,0.046784,0.795328,0.46784
5.07038,0.0,0.795328,0.46784
5.071117,-0.046784,0.842112,0.421056
5.071855,0.0,0.842112,0.46784
5.072592,0.0,0.842112,0.46784
5.07333,0.0,0.842112,0.421056
5.074067,0.0,0.795328,0.46784
5.074805,0.0,0.842112,0.514624
5.075542,0.0,0.795328,0.514624
5.07628,0.0,0.795328,0.46784
5.077017,0.0,0.842112,0.46784
5.077755,0.0,0.842112,0.46784
5.078492,0.0,0.842112,0.46784
5.07923,0.0,0.842112,0.46784
5.079967,0.0,0.795328,0.46784
5.080705,0.0,0.842112,0.46784
5.081442,0.0,0.795328,0.46784
5.08218,-0.046784,0.795328,0.514624
5.082917,-0.046784,0.795328,0.514624
5.083655,0.0,0.842112,0.514624
5.084392,0.0,0.842112,0.514624
5.08513,0.0,0.842112,0.514624
5.085867,0.0,0.842112,0.514624
5.086605,0.0,0.795328,0.514624
5.087342,0.0,0.795328,0.46784
5.08808,0.0,0.842112,0.46784
5.088817,0.046784,0.795328,0.46784
5.089555,0.0,0.842112,0.514624
5.090292,0.0,0.842112,0.46784
5.09103,0.0,0.842112,0.514624
5.091767,0.0,0.842112,0.46784
5.092505,0.0,0.842112,0.46784
5.093242,0.0,0.795328,0.46784
5.09398,0.0,0.795328,0.46784
5.094717,0.046784,0.795328,0.514624
5.095455,0.0,0.795328,0.46784
5.096192,0.046784,0.842112,0.46784
5.09693,0.0,0.842112,0.46784
5.097667,0.0,0.842112,0.46784
5.098405,0.046784,0.842112,0.514624
5.099142,0.046784,0.795328,0.46784
5.09988,0.046784,0.795328,0.46784
5.100617,0.0,0.842112,0.514624
5.101355,0.0,0.842112,0.46784
5.102092,0.0,0.842112,0.421056
5.10283,0.0,0.842112,0.421056
5.103567,-0.046784,0.842112,0.46784
5.104305,0.0,0.795328,0.514624
5.105042,0.0,0.795328,0.46784
5.10578,0.0,0.795328,0.46784
5.106517,0.046784,0.795328,0.46784
5.107255,0.0,0.795328,0.46784
5.107992,0.0,0.842112,0.46784
5.10873,0.0,0.842112,0.46784
5.109467,0.0,0.842112,0.46784
5.110205,0.0,0.842112,0.46784
5.110942,0.0,0.842112,0.46784
5.11168,0.0,0.795328,0.46784
5.112417,0.046784,0.842112,0.514624
5.113155,0.0,0.842112,0.514624
5.113892,0.046784,0.795328,0.514624
5.11463,0.0,0.842112,0.514624
5.115367,0.0,0.795328,0.514624
5.116105,0.0,0.842112,0.46784
5.116842,0.046784,0.842112,0.46784
5.11758,0.0,0.842112,0.46784
5.118317,0.0,0.795328,0.46784
5.119055,0.0,0.795328,0.46784
5.119792,0.046784,0.842112,0.46784
5.12053,0.0,0.842112,0.514624
5.121267,0.0,0.795328,0.46784
5.122005,0.0,0.795328,0.46784
5.122742,0.0,0.795328,0.421056
5.12348,0.046784,0.795328,0.46784
5.124217,0.046784,0.795328,0.46784
5.124955,0.0,0.795328,0.46784
5.125692,0.0,0.795328,0.514624
5.12643,0.0,0.842112,0.514624
5.127167,-0.046784,0.842112,0.514624
5.127905,0.0,0.842112,0.46784
5.128642,0.0,0.795328,0.514624
5.12938,0.0,0.795328,0.46784
5.130117,0.0,0.795328,0.46784
5.130855,0.0,0.795328,0.46784
5.131592,-0.046784,0.842112,0.514624
5.13233,-0.046784,0.842112,0.514624
5.133067,0.0,0.842112,0.514624
5.133805,0.0,0.842112,0.514624
5.134542,0.0,0.842112,0.561408
5.13528,0.0,0.842112,0.514624
5.136018,0.0,0.842112,0.514624
5.136755,0.046784,0.795328,0.514624
5.137493,0.046784,0.795328,0.561408
5.13823,0.0,0.842112,0.46784
5.138968,0.0,0.888896,0.514624
5.139705,0.0,0.888896,0.46784
5.140443,0.0,0.842112,0.46784
5.14118,0.0,0.842112,0.514624
5.141918,0.046784,0.795328,0.514624
5.142655,0.0,0.795328,0.514624
5.143393,0.0,0.795328,0.514624
5.14413,0.0,0.795328,0.514624
5.144868,0.0,0.795328,0.514624
5.145605,0.0,0.795328,0.46784
5.146343,0.046784,0.795328,0.46784
5.14708,0.046784,0.842112,0.421056
5.147818,0.046784,0.842112,0.421056
5.148555,0.0,0.795328,0.46784
5.149293,0.0,0.795328,0.46784
5.15003,0.0,0.795328,0.421056
5.150768,0.0,0.842112,0.421056
5.151505,0.0,0.795328,0.46784
5.152243,0.0,0.795328,0.46784
5.15298,0.0,0.795328,0.46784
5.153718,0.0,0.795328,0.46784
5.154455,0.0,0.795328,0.46784
5.155193,0.0,0.795328,0.46784
5.15593,0.0,0.842112,0.514624
5.156668,0.0,0.842112,0.46784
5.157405,0.0,0.795328,0.514624
5.158143,-0.046784,0.842112,0.514624
5.15888,0.0,0.842112,0.514624
5.159618,0.0,0.842112,0.46784
5.160355,0.0,0.795328,0.46784
5.161093,0.0,0.842112,0.46784
5.16183,0.0,0.888896,0.46784
5.162568,0.0,0.842112,0.46784
5.163305,0.0,0.842112,0.46784
5.164043,0.0,0.842112,0.421056
5.16478,-0.046784,0.888896,0.46784
5.165518,0.0,0.842112,0.46784
5.166255,0.0,0.842112,0.46784
5.166993,0.0,0.795328,0.514624
5.16773,-0.046784,0.795328,0.46784
5.168468,0.0,0.795328,0.421056
5.169205,0.046784,0.795328,0.46784
5.169943,0.046784,0.842112,0.46784
5.17068,0.0,0.795328,0.46784
5.171418,0.0,0.842112,0.421056
5.172155,0.0,0.795328,0.46784
5.172893,0.0,0.842112,0.46784
5.17363,0.0,0.795328,0.514624
5.174368,0.0,0.795328,0.514624
5.175105,0.0,0.795328,0.514624
5.175843,-0.046784,0.842112,0.561408
5.17658,-0.046784,0.842112,0.561408
5.177318,-0.046784,0.888896,0.514624
5.178055,0.0,0.795328,0.514624
5.178793,0.0,0.842112,0.46784
5.17953,0.0,0.795328,0.46784
5.180268,0.0,0.795328,0.514624
5.181005,0.0,0.795328,0.514624
5.181743,0.0,0.795328,0.46784
5.18248,0.046784,0.795328,0.514624
5.183218,0.046784,0.842112,0.46784
5.183955,0.046784,0.842112,0.421056
5.184693,0.046784,0.842112,0.46784
5.18543,0.046784,0.842112,0.421056
5.186168,0.0,0.795328,0.46784
5.186905,0.0,0.842112,0.46784
