Time,M_x [gauss],M_y [gauss],M_z [gauss]
6.499227,0.3255,-0.0675,-0.159
6.508994,0.294,-0.1005,-0.2055
6.518761,0.2685,-0.1005,-0.171
6.528527,0.297,-0.0705,-0.1335
6.538294,0.3105,-0.084,-0.1905
6.54806,0.2715,-0.1065,-0.195
6.557827,0.282,-0.0765,-0.138
6.567594,0.315,-0.075,-0.165
6.57736,0.2985,-0.1005,-0.207
6.587127,0.2685,-0.087,-0.1515
6.596893,0.3075,-0.0675,-0.153
6.60666,0.3015,-0.09,-0.195
6.616427,0.27,-0.102,-0.1815
6.626193,0.288,-0.0705,-0.129
6.63596,0.312,-0.081,-0.1725
6.645726,0.282,-0.111,-0.1995
6.655493,0.2805,-0.084,-0.144
6.66526,0.312,-0.072,-0.156
6.675026,0.2955,-0.099,-0.201
6.684793,0.2595,-0.0975,-0.1665
6.694559,0.3015,-0.0765,-0.129
6.704326,0.309,-0.0885,-0.189
6.714093,0.273,-0.114,-0.189
6.723859,0.2745,-0.075,-0.1335
6.733626,0.321,-0.078,-0.165
6.743392,0.294,-0.1005,-0.204
6.753159,0.2685,-0.084,-0.1545
6.762926,0.309,-0.069,-0.1455
6.772692,0.306,-0.096,-0.1995
6.782459,0.273,-0.099,-0.18
6.792225,0.2895,-0.0705,-0.135
6.801992,0.3135,-0.0885,-0.1815
6.811759,0.2745,-0.1035,-0.1995
6.821525,0.2805,-0.0795,-0.1365
6.831292,0.306,-0.072,-0.1545
6.841058,0.3045,-0.099,-0.21
6.850825,0.27,-0.096,-0.165
6.860592,0.2925,-0.0645,-0.141
6.870358,0.309,-0.0885,-0.192
6.880125,0.27,-0.099,-0.189
6.889891,0.279,-0.0735,-0.138
6.899658,0.312,-0.072,-0.159
6.909424,0.288,-0.1065,-0.2025
6.919191,0.282,-0.1005,-0.1575
6.928958,0.3045,-0.0705,-0.138
6.938724,0.3105,-0.0915,-0.2055
6.948491,0.273,-0.1005,-0.183
6.958257,0.2835,-0.0675,-0.138
6.968024,0.3165,-0.087,-0.183
6.977791,0.2865,-0.1095,-0.198
6.987557,0.279,-0.0885,-0.147
6.997324,0.312,-0.072,-0.1485
7.007092,0.3,-0.099,-0.2025
7.016861,0.27,-0.09,-0.168
7.026629,0.3015,-0.0735,-0.1365
7.036397,0.309,-0.0825,-0.192
7.046166,0.2625,-0.105,-0.192
7.055934,0.2775,-0.078,-0.1395
7.065702,0.306,-0.0765,-0.171
7.075471,0.2895,-0.108,-0.198
7.085239,0.27,-0.084,-0.1545
7.095007,0.3105,-0.072,-0.1485
7.104776,0.303,-0.096,-0.2025
7.114544,0.2655,-0.0975,-0.18
7.124312,0.2835,-0.0585,-0.1305
7.134081,0.312,-0.0765,-0.183
7.143849,0.2805,-0.108,-0.192
7.153617,0.2775,-0.081,-0.1365
7.163386,0.3105,-0.066,-0.156
7.173154,0.294,-0.093,-0.2085
7.182922,0.267,-0.0975,-0.1635
7.192691,0.3,-0.06,-0.1455
7.202459,0.318,-0.096,-0.1905
7.212228,0.2745,-0.102,-0.186
7.221996,0.2805,-0.0735,-0.1365
7.231764,0.309,-0.0675,-0.165
7.241533,0.2985,-0.1005,-0.21
7.251301,0.2655,-0.0855,-0.156
7.261069,0.309,-0.072,-0.1425
7.270838,0.3015,-0.0915,-0.201
7.280606,0.27,-0.0975,-0.1725
7.290374,0.2895,-0.0735,-0.132
7.300143,0.321,-0.0855,-0.1845
7.309911,0.2775,-0.1095,-0.1935
7.319679,0.2775,-0.0825,-0.153
7.329448,0.3075,-0.075,-0.1605
7.339216,0.291,-0.0975,-0.21
7.348984,0.261,-0.105,-0.1605
7.358753,0.2985,-0.066,-0.147
7.368521,0.3135,-0.078,-0.189
7.378289,0.2715,-0.1065,-0.192
7.388058,0.2775,-0.0735,-0.138
7.397826,0.315,-0.069,-0.1695
7.407594,0.285,-0.102,-0.204
7.417363,0.2775,-0.0825,-0.165
7.427131,0.306,-0.072,-0.1485
7.4369,0.306,-0.0915,-0.204
7.446668,0.2655,-0.105,-0.1755
7.456436,0.291,-0.0795,-0.141
7.466205,0.315,-0.0915,-0.1815
7.475973,0.2745,-0.105,-0.1965
7.485741,0.2715,-0.084,-0.1365
7.49551,0.3105,-0.072,-0.162
7.505278,0.297,-0.1035,-0.2055
7.515046,0.2655,-0.102,-0.1665
7.524815,0.3045,-0.069,-0.144
7.534583,0.3135,-0.0855,-0.1935
7.544351,0.27,-0.105,-0.1935
7.55412,0.2805,-0.072,-0.1425
7.563888,0.318,-0.072,-0.1725
7.573656,0.2865,-0.1095,-0.2055
7.583425,0.2715,-0.081,-0.1545
7.593193,0.306,-0.0705,-0.1575
7.602961,0.3075,-0.0945,-0.2025
7.61273,0.27,-0.102,-0.174
7.622498,0.294,-0.066,-0.138
7.632266,0.315,-0.09,-0.1845
7.642035,0.282,-0.108,-0.1965
7.651803,0.2685,-0.0855,-0.1365
7.661572,0.324,-0.075,-0.15
7.67134,0.285,-0.1035,-0.201
7.681108,0.2655,-0.096,-0.165
7.690877,0.2985,-0.0705,-0.1365
7.700645,0.312,-0.0975,-0.1905
7.710413,0.27,-0.1035,-0.1845
7.720182,0.285,-0.075,-0.126
7.72995,0.3075,-0.075,-0.1725
7.739718,0.2835,-0.1125,-0.1965
7.749487,0.273,-0.084,-0.1425
7.759255,0.3105,-0.0675,-0.1395
7.769023,0.303,-0.1035,-0.2025
7.778792,0.267,-0.1095,-0.177
7.78856,0.297,-0.0615,-0.141
7.798328,0.3165,-0.078,-0.1785
7.808097,0.2745,-0.1005,-0.2025
7.817865,0.273,-0.0825,-0.1425
7.827633,0.321,-0.0735,-0.159
7.837402,0.2985,-0.102,-0.207
7.84717,0.2715,-0.0975,-0.1695
7.856939,0.306,-0.072,-0.1455
7.866707,0.306,-0.0915,-0.192
7.876475,0.267,-0.1005,-0.183
7.886244,0.282,-0.0735,-0.1395
7.896012,0.3045,-0.0735,-0.171
7.90578,0.2895,-0.099,-0.2055
7.915549,0.267,-0.084,-0.1515
7.925317,0.3075,-0.0675,-0.1485
7.935085,0.2985,-0.1005,-0.21
7.944854,0.273,-0.1005,-0.1755
7.954622,0.291,-0.0675,-0.1365
7.96439,0.312,-0.0945,-0.1875
7.974159,0.2745,-0.1035,-0.201
7.983928,0.279,-0.081,-0.1395
7.993697,0.3135,-0.072,-0.1695
8.003466,0.294,-0.0975,-0.2085
8.013235,0.276,-0.0915,-0.1635
8.023004,0.3045,-0.0675,-0.138
8.032773,0.3045,-0.0885,-0.2055
8.042542,0.2685,-0.0975,-0.1845
8.052311,0.2895,-0.0765,-0.138
8.06208,0.3255,-0.0735,-0.177
8.071849,0.285,-0.114,-0.204
8.081618,0.276,-0.0915,-0.153
8.091387,0.312,-0.0705,-0.1485
8.101156,0.297,-0.0975,-0.2085
8.110925,0.2655,-0.099,-0.1695
8.120694,0.3045,-0.066,-0.1395
8.130464,0.312,-0.0855,-0.183
8.140233,0.282,-0.1035,-0.198
8.150002,0.27,-0.0705,-0.1365
8.159771,0.3135,-0.081,-0.1575
8.16954,0.2925,-0.102,-0.204
8.179309,0.27,-0.0915,-0.1575
8.189078,0.306,-0.072,-0.1425
8.198847,0.312,-0.09,-0.1995
8.208616,0.27,-0.102,-0.1845
8.218385,0.291,-0.078,-0.141
8.228154,0.315,-0.0795,-0.177
8.237923,0.279,-0.108,-0.195
8.247692,0.273,-0.084,-0.1395
8.257461,0.3195,-0.072,-0.1515
8.26723,0.297,-0.0975,-0.2055
8.276999,0.2685,-0.0885,-0.162
8.286768,0.3,-0.063,-0.1395
8.296537,0.3195,-0.0825,-0.1905
8.306306,0.2715,-0.0975,-0.186
8.316075,0.282,-0.0765,-0.1365
8.325845,0.3105,-0.0735,-0.156
8.335614,0.2835,-0.105,-0.1995
8.345383,0.27,-0.0915,-0.1515
8.355152,0.2985,-0.069,-0.144
8.364921,0.315,-0.09,-0.198
8.37469,0.273,-0.1125,-0.177
8.384459,0.2895,-0.069,-0.138
8.394228,0.3075,-0.078,-0.1755
8.403997,0.282,-0.1035,-0.2055
8.413766,0.276,-0.087,-0.141
8.423535,0.309,-0.069,-0.1515
8.433304,0.294,-0.1005,-0.2055
8.443073,0.2685,-0.099,-0.168
8.452842,0.288,-0.075,-0.141
8.462611,0.318,-0.084,-0.186
8.47238,0.273,-0.1005,-0.1995
8.482149,0.288,-0.0765,-0.1455
8.491918,0.3075,-0.0765,-0.1665
8.501687,0.291,-0.0975,-0.2145
8.511457,0.2715,-0.0915,-0.156
8.521226,0.3045,-0.072,-0.144
8.530995,0.315,-0.105,-0.198
8.540764,0.261,-0.105,-0.186
8.550533,0.291,-0.0765,-0.141
8.560302,0.315,-0.0765,-0.1845
8.570071,0.285,-0.108,-0.195
8.57984,0.282,-0.081,-0.1485
8.589609,0.3165,-0.072,-0.156
8.599378,0.2925,-0.096,-0.2025
8.609147,0.261,-0.0915,-0.174
8.618916,0.2955,-0.0615,-0.135
8.628685,0.3105,-0.0975,-0.1875
8.638454,0.279,-0.1005,-0.1875
8.648223,0.276,-0.081,-0.1425
8.657992,0.312,-0.078,-0.165
8.667761,0.291,-0.108,-0.207
8.67753,0.2745,-0.081,-0.1605
8.687299,0.3015,-0.0675,-0.144
8.697069,0.306,-0.0915,-0.2025
