Time,M_x [gauss],M_y [gauss],M_z [gauss]
6.624016,0.342,-0.0045,0.0
6.633781,0.336,0.0255,0.042
6.643547,0.387,0.018,0.024
6.653312,0.3465,-0.003,-0.009
6.663078,0.3345,0.0165,0.0375
6.672843,0.366,0.0315,0.0465
6.682609,0.3645,0.003,-0.0075
6.692374,0.3315,-0.003,0.0075
6.70214,0.3585,0.03,0.0555
6.711905,0.369,0.0195,0.012
6.721671,0.3435,-0.0045,-0.006
6.731436,0.339,0.0165,0.042
6.741202,0.384,0.03,0.039
6.750967,0.363,0.0,-0.009
6.760733,0.3285,0.0045,0.0195
6.770498,0.36,0.033,0.054
6.780263,0.3795,0.018,-0.0015
6.790029,0.3375,-0.0045,-0.0015
6.799794,0.3405,0.018,0.0495
6.80956,0.3825,0.021,0.0255
6.819325,0.36,-0.003,-0.015
6.829091,0.336,0.0015,0.033
6.838856,0.3705,0.0255,0.0435
6.848622,0.3675,0.009,-0.0075
6.858387,0.339,0.0,0.0045
6.868153,0.3435,0.03,0.051
6.877918,0.3795,0.0255,0.012
6.887684,0.348,-0.009,-0.0105
6.897449,0.3345,0.012,0.027
6.907215,0.375,0.027,0.0375
6.91698,0.3615,-0.0015,-0.0075
6.926746,0.333,0.0,0.0135
6.936511,0.3585,0.0315,0.057
6.946276,0.378,0.0165,0.003
6.956042,0.351,-0.0015,-0.003
6.965807,0.336,0.018,0.048
6.975573,0.3735,0.021,0.0375
6.985338,0.3585,-0.003,-0.009
6.995104,0.3345,0.003,0.0225
7.004871,0.3705,0.0345,0.0435
7.014638,0.3705,0.009,-0.003
7.024406,0.3405,-0.0075,0.0015
7.034173,0.351,0.0195,0.051
7.04394,0.3795,0.027,0.0225
7.053707,0.348,-0.006,-0.006
7.063475,0.3375,0.009,0.045
7.073242,0.369,0.0285,0.039
7.083009,0.366,0.0045,-0.009
7.092776,0.333,-0.003,0.015
7.102544,0.357,0.03,0.0525
7.112311,0.3675,0.0165,0.015
7.122078,0.3405,0.0015,-0.0015
7.131845,0.342,0.018,0.054
7.141613,0.3795,0.027,0.0225
7.15138,0.3585,-0.003,-0.012
7.161147,0.3285,0.0,0.021
7.170914,0.3615,0.0255,0.048
7.180682,0.372,0.009,0.0
7.190449,0.33,-0.009,0.003
7.200216,0.348,0.024,0.057
7.209983,0.3765,0.021,0.021
7.219751,0.357,-0.0015,-0.006
7.229518,0.3285,0.012,0.036
7.239285,0.3675,0.0315,0.048
7.249052,0.369,-0.0015,-0.012
7.25882,0.333,0.0,0.003
7.268587,0.354,0.024,0.0465
7.278354,0.378,0.015,0.012
7.288121,0.3405,-0.0045,-0.0015
7.297889,0.3375,0.015,0.0495
7.307656,0.378,0.0255,0.0345
7.317423,0.357,0.003,-0.0135
7.32719,0.333,0.0015,0.027
7.336958,0.3645,0.0285,0.0465
7.346725,0.378,0.0075,-0.003
7.356492,0.3315,-0.0045,0.003
7.366259,0.3435,0.0165,0.048
7.376027,0.375,0.024,0.024
7.385794,0.3585,-0.0045,-0.0195
7.395561,0.3345,0.003,0.036
7.405328,0.3735,0.0285,0.045
7.415096,0.3765,0.0045,-0.0105
7.424863,0.3345,-0.009,0.012
7.43463,0.3465,0.0225,0.054
7.444398,0.378,0.021,0.009
7.454165,0.3375,0.0,-0.006
7.463932,0.339,0.018,0.045
7.473699,0.369,0.0195,0.0375
7.483467,0.3645,0.0015,-0.006
7.493234,0.333,0.0015,0.0165
7.503001,0.351,0.0225,0.0495
7.512768,0.3765,0.012,0.0105
7.522536,0.342,-0.0045,-0.0015
7.532303,0.3345,0.018,0.048
7.54207,0.3795,0.0285,0.0225
7.551837,0.3495,-0.009,-0.0045
7.561605,0.336,0.0075,0.0255
7.571372,0.3615,0.0255,0.045
7.581139,0.3735,0.009,-0.0015
7.590906,0.3315,-0.0075,0.0075
7.600674,0.3465,0.03,0.0525
7.610441,0.3795,0.0195,0.012
7.620208,0.354,-0.0045,-0.003
7.629975,0.3375,0.0135,0.048
7.639743,0.369,0.0345,0.039
7.64951,0.3675,0.0,-0.0165
7.659277,0.3375,-0.006,0.0165
7.669044,0.3585,0.0195,0.0585
7.678812,0.375,0.012,0.003
7.688579,0.3315,-0.009,0.0
7.698346,0.342,0.015,0.0465
7.708113,0.3705,0.0225,0.027
7.717881,0.3555,-0.006,-0.0165
7.727648,0.3255,0.006,0.0345
7.737415,0.363,0.0315,0.0435
7.747182,0.3675,0.006,-0.003
7.75695,0.333,0.0,0.006
7.766717,0.351,0.021,0.0525
7.776484,0.381,0.0225,0.0105
7.786251,0.345,-0.0075,-0.0135
7.796019,0.336,0.018,0.036
7.805786,0.3675,0.027,0.0435
7.815553,0.363,-0.0015,-0.0105
7.82532,0.333,0.0,0.018
7.835088,0.357,0.027,0.0465
7.844855,0.3855,0.0195,0.006
7.854622,0.336,-0.0105,-0.003
7.864389,0.3405,0.024,0.048
7.874157,0.369,0.027,0.0285
7.883924,0.357,0.0045,-0.009
7.893691,0.324,0.0105,0.033
7.903458,0.369,0.0225,0.051
7.913226,0.3795,0.0075,-0.0075
7.922993,0.3345,-0.006,0.0045
7.93276,0.3525,0.018,0.051
7.942527,0.378,0.018,0.0225
7.952295,0.3495,-0.003,-0.009
7.962062,0.3315,0.012,0.042
7.971829,0.378,0.0285,0.051
7.981597,0.369,0.009,-0.0135
7.991365,0.3405,0.0,0.018
8.001133,0.357,0.027,0.048
8.010901,0.381,0.024,0.0105
8.020669,0.3345,0.0,-0.0075
8.030436,0.3405,0.015,0.042
8.040204,0.3735,0.027,0.033
8.049972,0.3585,-0.0015,-0.0195
8.05974,0.3345,0.0045,0.018
8.069508,0.3645,0.027,0.0465
8.079276,0.372,0.0105,0.0
8.089044,0.3405,-0.0015,0.0075
8.098812,0.345,0.0105,0.0615
8.108579,0.3735,0.0195,0.0195
8.118347,0.348,-0.0045,-0.0045
8.128115,0.336,0.0105,0.0375
8.137883,0.3675,0.033,0.042
8.147651,0.366,0.003,-0.0105
8.157419,0.333,0.0015,0.0075
8.167187,0.3495,0.0375,0.0495
8.176954,0.384,0.0135,0.0105
8.186722,0.348,-0.009,-0.003
8.19649,0.3375,0.0165,0.036
8.206258,0.375,0.024,0.0375
8.216026,0.3555,0.003,-0.015
8.225794,0.3285,0.003,0.027
8.235562,0.3615,0.033,0.054
8.24533,0.375,0.009,0.003
8.255097,0.3315,-0.003,0.0
8.264865,0.3525,0.024,0.0435
8.274633,0.375,0.024,0.03
8.284401,0.3555,-0.0015,-0.0105
8.294169,0.3345,0.009,0.036
8.303937,0.3825,0.0255,0.0525
8.313705,0.3615,0.0075,-0.009
8.323473,0.339,-0.006,0.0075
8.33324,0.3495,0.0345,0.0435
8.343008,0.3765,0.015,0.0075
8.352776,0.3405,-0.015,-0.003
8.362544,0.3345,0.0075,0.0405
8.372312,0.366,0.0345,0.027
8.38208,0.3585,0.0015,-0.015
8.391848,0.33,-0.0045,0.021
8.401616,0.36,0.024,0.0495
8.411383,0.3765,0.012,0.006
8.421151,0.342,-0.0105,0.0
8.430919,0.3375,0.0225,0.048
8.440687,0.384,0.0255,0.024
8.450455,0.3435,0.0,-0.015
8.460223,0.3345,0.0075,0.0315
8.469991,0.366,0.039,0.0435
8.479758,0.372,0.0075,-0.0075
8.489526,0.3345,0.003,0.0045
8.499294,0.345,0.03,0.054
8.509062,0.372,0.015,0.015
8.51883,0.354,-0.006,-0.0105
8.528598,0.336,0.009,0.039
8.538366,0.372,0.036,0.0315
8.548134,0.36,0.003,-0.012
8.557901,0.3345,-0.0045,0.018
8.567669,0.351,0.036,0.048
8.577437,0.381,0.024,-0.0015
8.587205,0.3345,-0.0045,-0.003
8.596973,0.342,0.021,0.045
8.606741,0.3705,0.0315,0.018
8.616509,0.36,0.0,-0.0105
8.626277,0.333,0.009,0.0315
8.636044,0.363,0.03,0.048
8.645812,0.366,0.0045,-0.009
8.65558,0.3375,-0.003,0.0075
8.665348,0.3495,0.027,0.045
8.675116,0.381,0.0105,0.021
8.684884,0.342,-0.003,0.0
8.694652,0.3285,0.015,0.039
8.704419,0.378,0.0255,0.045
8.714187,0.3705,0.0075,-0.009
8.723955,0.3405,-0.0015,0.0135
8.733723,0.3555,0.0345,0.051
8.743491,0.384,0.0195,0.0015
8.753259,0.33,-0.0045,-0.0015
8.763027,0.3315,0.021,0.0405
8.772795,0.375,0.0225,0.03
8.782562,0.36,0.0,-0.012
8.79233,0.333,0.0,0.0285
8.802098,0.372,0.03,0.042
8.811866,0.369,0.009,-0.009
8.821634,0.333,-0.003,0.0045
8.831402,0.345,0.0225,0.054
8.84117,0.3795,0.0225,0.015
8.850938,0.3495,-0.012,-0.0135
8.860705,0.3375,0.012,0.0315
8.870473,0.366,0.0225,0.0375
8.880241,0.3645,0.003,-0.0135
8.890009,0.3285,-0.006,0.012
8.899777,0.357,0.0315,0.051
8.909545,0.3735,0.018,0.0105
8.919313,0.3435,-0.009,-0.0075
8.929081,0.336,0.015,0.0495
8.938848,0.3765,0.027,0.03
8.948616,0.357,-0.0075,-0.0105
8.958381,0.33,0.0075,0.021
8.968146,0.3675,0.033,0.045
8.977911,0.3675,0.0195,-0.0045
8.987677,0.333,0.003,0.0015
8.997442,0.342,0.0225,0.051
9.007207,0.3765,0.0225,0.024
9.016972,0.351,-0.0105,-0.009
9.026737,0.333,0.009,0.0435
9.036502,0.378,0.0285,0.0375
9.046267,0.3645,0.0015,-0.006
9.056032,0.333,0.0,0.0135
9.065797,0.357,0.0255,0.06
9.075562,0.3735,0.0135,0.009
9.085327,0.3495,-0.003,0.003
9.095092,0.342,0.0225,0.042
9.104857,0.372,0.027,0.045
9.114622,0.36,-0.006,-0.006
9.124388,0.339,0.003,0.021
9.134153,0.357,0.0225,0.045
9.143918,0.3705,0.018,-0.0045
9.153683,0.3375,-0.0045,-0.0045
9.163448,0.339,0.0225,0.0495
9.173213,0.3705,0.027,0.0225
9.182978,0.3495,-0.0075,-0.015
