Datetime,C2 Value
2024-06-25 09:00:00,-42.25931160533631
2024-06-25 10:00:00,-27.463469209804966
2024-06-25 11:00:00,-27.68437348601671
2024-06-25 12:00:00,-27.471772882794326
2024-06-25 13:00:00,-27.117200329963346
2024-06-25 14:00:00,-26.95820925092137
2024-06-25 15:00:00,-26.69816584044649
2024-06-25 16:00:00,-26.593103726744985
2024-06-25 17:00:00,-26.562567347860394
2024-06-25 18:00:00,-26.919382576308905
2024-06-25 19:00:00,-26.340213789600224
2024-06-25 20:00:00,-26.316628250819395
2024-06-25 21:00:00,-26.18731691823971
2024-06-25 22:00:00,-26.077784450958088
2024-06-25 23:00:00,-26.023144602457528
2024-06-26 00:00:00,-25.905388829366782
2024-06-26 01:00:00,-26.210380934771248
2024-06-26 02:00:00,-26.173837227198227
2024-06-26 03:00:00,-26.25402459847981
2024-06-26 04:00:00,-26.434748569089557
2024-06-26 05:00:00,-26.160100325276108
2024-06-26 06:00:00,-26.687225857447935
2024-06-26 07:00:00,-27.14754148678045
2024-06-26 08:00:00,-26.835506788545658
2024-06-26 09:00:00,-26.913989357662924
2024-06-26 10:00:00,-26.693264189366275
2024-06-26 11:00:00,-26.540597802761674
2024-06-26 12:00:00,-26.501323228157528
2024-06-26 13:00:00,-26.428857774829716
2024-06-26 14:00:00,-27.04733063962751
2024-06-26 15:00:00,-26.81873111080296
2024-06-26 16:00:00,-27.412719268250925
2024-06-26 17:00:00,-27.185748163454047
2024-06-26 18:00:00,-27.44778839264432
2024-06-26 19:00:00,-27.243132349251628
2024-06-26 20:00:00,-27.256867374866193
2024-06-26 21:00:00,-27.17906944376111
2024-06-26 22:00:00,-27.054959568648194
2024-06-26 23:00:00,-27.013075148062615
2024-06-27 00:00:00,-26.840115813156302
2024-06-27 01:00:00,-26.935034341933495
2024-06-27 02:00:00,-26.911437267140744
2024-06-27 03:00:00,-27.607046470309136
2024-06-27 04:00:00,-27.668309695169775
2024-06-27 05:00:00,-28.101647971826313
2024-06-27 06:00:00,-27.572353343054992
2024-06-27 07:00:00,-27.975379165902947
2024-06-27 08:00:00,-27.64500516883952
2024-06-27 09:00:00,-27.662584000916176
2024-06-27 10:00:00,-27.342679254854147
2024-06-27 11:00:00,-27.488669841278046
2024-06-27 12:00:00,-27.552752634563678
2024-06-27 13:00:00,-27.710331476674817
2024-06-27 14:00:00,-27.626152906996147
2024-06-27 15:00:00,-27.781787508843493
2024-06-27 16:00:00,-27.958762688002725
2024-06-27 17:00:00,-27.713616159674586
2024-06-27 18:00:00,-27.69381816587254
2024-06-27 19:00:00,-27.81633302987862
2024-06-27 20:00:00,-27.912424525453225
2024-06-27 21:00:00,-27.91074399635068
2024-06-27 22:00:00,-27.682719866194688
2024-06-27 23:00:00,-27.554628679910422
2024-06-28 00:00:00,-27.499353118758105
2024-06-28 01:00:00,-27.483843974154734
2024-06-28 02:00:00,-27.307653863807474
2024-06-28 03:00:00,-27.218377960512285
2024-06-28 04:00:00,-27.35218261195244
2024-06-28 05:00:00,-27.326861238201577
2024-06-28 06:00:00,-27.301086475785652
2024-06-28 07:00:00,-27.3971047992136
2024-06-28 08:00:00,-27.549520509937146
2024-06-28 09:00:00,-27.603616345850167
2024-06-28 10:00:00,-28.53390127067531
2024-06-28 11:00:00,-28.711694744358986
2024-06-28 12:00:00,-28.391158284557683
2024-06-28 13:00:00,-28.54961708409317
2024-06-28 14:00:00,-28.931426171068374
2024-06-28 15:00:00,-29.062147525895814
2024-06-28 16:00:00,-29.359974619704126
2024-06-28 17:00:00,-28.634101317146683
2024-06-28 18:00:00,-29.326882506510028
2024-06-28 19:00:00,-29.507167914805393
2024-06-28 20:00:00,-29.520892472456737
2024-06-28 21:00:00,-29.129528778464415
2024-06-28 22:00:00,-29.177977244358473
2024-06-28 23:00:00,-28.351187267993062
2024-06-29 00:00:00,-28.28241961539864
2024-06-29 01:00:00,-28.363524347687488
2024-06-29 02:00:00,-29.109201350395853
2024-06-29 03:00:00,-28.588361490713154
2024-06-29 04:00:00,-28.71054740951069
2024-06-29 05:00:00,-28.733316793166082
2024-06-29 06:00:00,-28.798545576744107
2024-06-29 07:00:00,-29.072136221918296
2024-06-29 08:00:00,-28.610309906997067
2024-06-29 09:00:00,-28.51615738199007
2024-06-29 10:00:00,-28.93928242692552
2024-06-29 11:00:00,-28.81838744300258
2024-06-29 12:00:00,-29.315437660662127
2024-06-29 13:00:00,-29.507867783055683
2024-06-29 14:00:00,-29.436074156354852
2024-06-29 15:00:00,-29.382801690459303
2024-06-29 16:00:00,-29.457232299390427
2024-06-29 17:00:00,-29.429387592956054
2024-06-29 18:00:00,-29.299335125885428
2024-06-29 19:00:00,-29.356565111024903
2024-06-29 20:00:00,-29.331896879888617
2024-06-29 21:00:00,-29.258550511905938
2024-06-29 22:00:00,-29.109047077510482
2024-06-29 23:00:00,-28.91436933956645
2024-06-30 00:00:00,-28.757054150520197
2024-06-30 01:00:00,-28.710051245827845
2024-06-30 02:00:00,-28.695209690110225
2024-06-30 03:00:00,-28.746512791686584
2024-06-30 04:00:00,-28.68712426876133
2024-06-30 05:00:00,-28.457486557921598
2024-06-30 06:00:00,-28.558530228353607
2024-06-30 07:00:00,-28.62840562661472
2024-06-30 08:00:00,-28.63161846918818
2024-06-30 09:00:00,-28.53989011702724
2024-06-30 10:00:00,-28.826697335162876
2024-06-30 11:00:00,-28.896046274837595
2024-06-30 12:00:00,-28.40633062440976
2024-06-30 13:00:00,-27.7936787669781
2024-06-30 14:00:00,-27.471714337869223
2024-06-30 15:00:00,-27.316276254722776
