Time,A_x [g],A_y [g],A_z [g]
5.000394,0.0,0.795328,0.421056
5.00113,0.046784,0.842112,0.421056
5.001866,0.046784,0.842112,0.46784
5.002602,0.0,0.795328,0.514624
5.003338,-0.046784,0.795328,0.514624
5.004074,-0.046784,0.795328,0.514624
5.00481,0.0,0.795328,0.46784
5.005547,-0.046784,0.795328,0.421056
5.006283,-0.046784,0.842112,0.46784
5.007019,-0.046784,0.842112,0.421056
5.007755,0.0,0.795328,0.46784
5.008491,0.0,0.795328,0.46784
5.009227,0.046784,0.842112,0.46784
5.009963,0.0,0.888896,0.421056
5.010699,0.0,0.842112,0.421056
5.011435,0.0,0.842112,0.46784
5.012171,0.046784,0.842112,0.421056
5.012907,0.0,0.842112,0.46784
5.013643,0.0,0.795328,0.421056
5.014379,-0.046784,0.795328,0.46784
5.015115,0.0,0.842112,0.46784
5.015851,0.046784,0.842112,0.514624
5.016587,0.0,0.842112,0.46784
5.017323,0.0,0.842112,0.46784
5.018059,0.0,0.842112,0.514624
5.018795,0.0,0.795328,0.46784
5.019531,0.0,0.795328,0.421056
5.020267,0.0,0.795328,0.46784
5.021003,0.0,0.795328,0.46784
5.021739,0.0,0.795328,0.46784
5.022475,0.0,0.795328,0.514624
5.023211,0.046784,0.842112,0.421056
5.023947,0.0,0.795328,0.46784
5.024683,0.046784,0.842112,0.421056
5.025419,0.0,0.795328,0.514624
5.026155,-0.046784,0.795328,0.561408
5.026891,0.0,0.842112,0.514624
5.027627,0.0,0.795328,0.514624
5.028363,0.0,0.795328,0.46784
5.029099,0.0,0.795328,0.514624
5.029835,0.0,0.842112,0.514624
5.030571,-0.046784,0.842112,0.514624
5.031307,0.0,0.842112,0.514624
5.032044,0.0,0.795328,0.46784
5.03278,0.0,0.795328,0.514624
5.033516,-0.046784,0.795328,0.514624
5.034252,0.0,0.795328,0.561408
5.034988,-0.046784,0.795328,0.514624
5.035724,0.0,0.842112,0.514624
5.03646,0.0,0.842112,0.514624
5.037196,0.0,0.842112,0.514624
5.037932,0.0,0.842112,0.514624
5.038668,-0.046784,0.795328,0.421056
5.039404,-0.046784,0.842112,0.46784
5.04014,-0.046784,0.842112,0.46784
5.040876,0.0,0.842112,0.514624
5.041612,-0.046784,0.842112,0.514624
5.042348,0.0,0.795328,0.514624
5.043084,-0.046784,0.795328,0.46784
5.04382,-0.046784,0.842112,0.46784
5.044556,-0.046784,0.842112,0.46784
5.045292,-0.046784,0.795328,0.514624
5.046028,0.0,0.795328,0.46784
5.046764,0.0,0.795328,0.514624
5.0475,0.0,0.795328,0.514624
5.048236,0.0,0.842112,0.514624
5.048972,0.0,0.795328,0.514624
5.049708,-0.046784,0.842112,0.514624
5.050444,-0.046784,0.842112,0.514624
5.05118,-0.046784,0.842112,0.46784
5.051916,0.046784,0.842112,0.46784
5.052652,0.0,0.842112,0.514624
5.053388,0.0,0.842112,0.514624
5.054124,0.0,0.842112,0.514624
5.05486,0.0,0.842112,0.514624
5.055596,0.0,0.795328,0.46784
5.056332,0.0,0.795328,0.46784
5.057068,0.0,0.795328,0.46784
5.057804,0.046784,0.748544,0.421056
5.058541,0.0,0.795328,0.421056
5.059277,0.0,0.795328,0.421056
5.060013,0.0,0.748544,0.46784
5.060749,0.046784,0.795328,0.421056
5.061485,0.0,0.795328,0.46784
5.062221,0.046784,0.842112,0.46784
5.062957,0.0,0.842112,0.46784
5.063693,0.0,0.842112,0.514624
5.064429,-0.046784,0.842112,0.514624
5.065165,0.046784,0.795328,0.46784
5.065901,0.0,0.842112,0.561408
5.066637,0.0,0.795328,0.561408
5.067373,0.0,0.842112,0.514624
5.068109,0.0,0.842112,0.514624
5.068845,-0.046784,0.842112,0.514624
5.069581,-0.046784,0.795328,0.46784
5.070317,-0.046784,0.795328,0.46784
5.071053,-0.046784,0.842112,0.46784
5.071789,0.0,0.842112,0.46784
5.072525,0.0,0.795328,0.46784
5.073261,-0.046784,0.842112,0.46784
5.073997,-0.046784,0.842112,0.561408
5.074733,0.0,0.795328,0.514624
5.075469,0.0,0.795328,0.561408
5.076205,0.0,0.842112,0.608192
5.076941,-0.046784,0.842112,0.561408
5.077677,-0.046784,0.842112,0.514624
5.078413,0.0,0.842112,0.514624
5.079149,0.0,0.842112,0.46784
5.079885,0.0,0.842112,0.46784
5.080621,0.0,0.795328,0.46784
5.081357,0.0,0.842112,0.514624
5.082093,0.0,0.842112,0.46784
5.082829,0.0,0.842112,0.421056
5.083565,0.0,0.842112,0.46784
5.084302,0.046784,0.795328,0.46784
5.085038,0.0,0.795328,0.514624
5.085774,0.0,0.795328,0.46784
5.08651,0.0,0.795328,0.514624
5.087246,0.0,0.795328,0.514624
5.087982,0.0,0.842112,0.46784
5.088718,0.046784,0.795328,0.514624
5.089454,0.0,0.795328,0.514624
5.09019,-0.046784,0.795328,0.46784
5.090926,-0.046784,0.795328,0.46784
5.091662,-0.046784,0.795328,0.46784
5.092398,0.0,0.795328,0.514624
5.093134,-0.046784,0.842112,0.514624
5.09387,0.0,0.795328,0.514624
5.094606,0.0,0.842112,0.46784
5.095342,0.0,0.795328,0.514624
5.096078,0.0,0.795328,0.514624
5.096814,0.0,0.795328,0.514624
5.09755,0.0,0.795328,0.46784
5.098286,-0.046784,0.842112,0.46784
5.099022,0.0,0.795328,0.514624
5.099758,0.0,0.795328,0.46784
5.100494,-0.046784,0.795328,0.46784
5.10123,0.0,0.748544,0.514624
5.101966,0.0,0.795328,0.514624
5.102702,0.0,0.842112,0.514624
5.103438,-0.046784,0.842112,0.46784
5.104174,0.0,0.795328,0.514624
5.10491,0.0,0.842112,0.514624
5.105646,0.0,0.888896,0.514624
5.106382,0.0,0.795328,0.514624
5.107118,0.0,0.795328,0.561408
5.107854,0.046784,0.842112,0.514624
5.10859,0.046784,0.842112,0.46784
5.109326,0.0,0.842112,0.46784
5.110062,0.0,0.888896,0.46784
5.110799,0.0,0.795328,0.514624
5.111535,0.0,0.795328,0.514624
5.112271,0.0,0.842112,0.514624
5.113007,0.0,0.795328,0.514624
5.113743,0.0,0.748544,0.514624
5.114479,0.0,0.748544,0.514624
5.115215,0.0,0.795328,0.46784
5.115951,0.0,0.795328,0.514624
5.116687,0.0,0.795328,0.514624
5.117423,0.0,0.795328,0.514624
5.118159,0.0,0.795328,0.514624
5.118895,0.0,0.795328,0.514624
5.119631,0.0,0.842112,0.561408
5.120367,0.0,0.795328,0.514624
5.121103,-0.046784,0.842112,0.514624
5.121839,-0.046784,0.888896,0.514624
5.122575,0.0,0.842112,0.514624
5.123311,0.0,0.795328,0.514624
5.124047,-0.046784,0.795328,0.514624
5.124783,0.0,0.795328,0.46784
5.125519,0.0,0.795328,0.514624
5.126255,0.0,0.795328,0.421056
5.126991,0.0,0.795328,0.514624
5.127727,0.0,0.842112,0.421056
5.128463,0.0,0.748544,0.514624
5.129199,0.0,0.748544,0.514624
5.129935,0.0,0.795328,0.46784
5.130671,0.046784,0.795328,0.514624
5.131407,0.046784,0.795328,0.514624
5.132143,0.0,0.842112,0.514624
5.132879,0.0,0.795328,0.46784
5.133615,0.0,0.842112,0.46784
5.134351,0.0,0.795328,0.514624
5.135087,0.0,0.795328,0.514624
5.135823,0.0,0.795328,0.46784
5.136559,-0.046784,0.795328,0.46784
5.137296,0.0,0.795328,0.46784
5.138032,0.0,0.842112,0.46784
5.138768,0.0,0.842112,0.514624
5.139504,-0.046784,0.842112,0.514624
5.14024,0.0,0.842112,0.46784
5.140976,0.0,0.842112,0.514624
5.141712,0.0,0.795328,0.46784
5.142448,0.0,0.842112,0.46784
5.143184,0.0,0.842112,0.514624
5.14392,0.0,0.842112,0.46784
5.144656,-0.046784,0.842112,0.421056
5.145392,0.0,0.842112,0.46784
5.146128,0.0,0.842112,0.46784
5.146864,-0.046784,0.888896,0.421056
5.1476,0.0,0.842112,0.46784
5.148336,0.0,0.842112,0.46784
5.149072,0.0,0.842112,0.514624
5.149808,0.0,0.842112,0.561408
5.150544,0.0,0.795328,0.514624
5.15128,0.0,0.795328,0.514624
5.152016,0.0,0.842112,0.46784
5.152752,0.0,0.795328,0.514624
5.153488,0.0,0.795328,0.46784
5.154224,0.0,0.795328,0.46784
5.15496,0.0,0.842112,0.46784
5.155696,0.0,0.842112,0.421056
5.156432,0.0,0.842112,0.46784
5.157168,0.0,0.795328,0.46784
5.157904,0.0,0.795328,0.421056
5.15864,0.0,0.748544,0.46784
5.159376,0.0,0.795328,0.46784
5.160112,-0.046784,0.842112,0.46784
5.160848,0.0,0.842112,0.46784
5.161584,-0.046784,0.795328,0.46784
5.16232,0.0,0.842112,0.421056
5.163056,0.0,0.842112,0.46784
5.163793,0.0,0.842112,0.514624
5.164529,0.0,0.842112,0.46784
5.165265,0.0,0.748544,0.514624
5.166001,0.0,0.795328,0.514624
5.166737,0.0,0.795328,0.514624
5.167473,0.0,0.795328,0.46784
5.168209,0.0,0.795328,0.46784
5.168945,0.0,0.795328,0.514624
5.169681,0.046784,0.795328,0.514624
5.170417,0.0,0.795328,0.514624
5.171153,0.0,0.842112,0.46784
5.171889,0.0,0.795328,0.46784
5.172625,0.0,0.795328,0.46784
5.173361,0.0,0.795328,0.46784
5.174097,0.0,0.795328,0.46784
5.174833,0.0,0.795328,0.46784
5.175569,0.0,0.795328,0.46784
5.176305,-0.046784,0.795328,0.46784
5.177041,0.0,0.795328,0.46784
5.177777,0.0,0.795328,0.514624
5.178513,0.0,0.795328,0.514624
5.179249,0.0,0.795328,0.561408
5.179985,0.0,0.842112,0.46784
5.180721,0.0,0.842112,0.514624
5.181457,-0.046784,0.888896,0.514624
5.182193,0.0,0.842112,0.514624
5.182929,-0.046784,0.795328,0.46784
5.183665,0.0,0.842112,0.421056
5.184401,0.0,0.842112,0.421056
5.185137,0.0,0.842112,0.46784
5.185873,0.0,0.842112,0.46784
5.186609,-0.046784,0.795328,0.514624
5.187345,0.0,0.795328,0.421056
5.188081,0.0,0.795328,0.46784
5.188817,0.0,0.748544,0.46784
5.189553,0.0,0.748544,0.46784
5.19029,0.0,0.842112,0.46784
5.191026,0.0,0.795328,0.514624
5.191762,0.0,0.795328,0.46784
5.192498,0.0,0.795328,0.514624
5.193234,0.0,0.795328,0.46784
5.19397,0.0,0.795328,0.46784
5.194706,0.046784,0.795328,0.421056
5.195442,0.0,0.842112,0.46784
5.196178,-0.046784,0.842112,0.514624
5.196914,0.0,0.795328,0.514624
5.19765,0.0,0.795328,0.514624
5.198386,0.046784,0.795328,0.46784
5.199122,0.0,0.795328,0.46784
5.199858,0.0,0.795328,0.421056
5.200594,0.0,0.888896,0.46784
5.20133,0.0,0.795328,0.46784
5.202066,0.0,0.842112,0.46784
5.202802,0.046784,0.795328,0.421056
5.203538,0.046784,0.795328,0.46784
5.204274,0.046784,0.795328,0.514624
5.20501,0.046784,0.842112,0.514624
5.205746,0.0,0.795328,0.514624
5.206482,0.0,0.795328,0.514624
5.207218,0.0,0.795328,0.46784
5.207954,0.0,0.842112,0.46784
5.20869,0.0,0.842112,0.46784
5.209426,0.0,0.842112,0.46784
5.210162,0.046784,0.795328,0.46784
5.210898,0.046784,0.795328,0.46784
5.211634,0.0,0.842112,0.514624
5.21237,0.0,0.842112,0.514624
5.213106,0.0,0.795328,0.514624
5.213842,0.0,0.842112,0.46784
5.214578,-0.046784,0.795328,0.46784
5.215314,0.0,0.795328,0.514624
5.216051,0.0,0.842112,0.46784
5.216787,0.0,0.842112,0.46784
5.217523,0.0,0.842112,0.46784
5.218259,0.046784,0.795328,0.46784
5.218995,0.0,0.842112,0.46784
5.219731,0.0,0.795328,0.514624
5.220467,0.0,0.795328,0.514624
5.221203,0.0,0.795328,0.514624
5.221939,0.0,0.842112,0.46784
5.222675,0.0,0.842112,0.514624
5.223411,0.0,0.842112,0.46784
5.224147,0.0,0.795328,0.421056
5.224883,0.0,0.842112,0.374272
5.225619,0.0,0.795328,0.421056
5.226355,0.0,0.795328,0.421056
5.227091,0.046784,0.795328,0.46784
5.227827,0.0,0.842112,0.46784
5.228563,0.0,0.842112,0.46784
5.229299,0.0,0.795328,0.374272
5.230035,-0.046784,0.842112,0.421056
5.230771,0.0,0.842112,0.46784
5.231507,0.0,0.842112,0.46784
5.232243,0.0,0.842112,0.46784
5.232979,0.046784,0.842112,0.421056
5.233715,0.046784,0.888896,0.421056
5.234451,0.0,0.842112,0.46784
5.235187,0.046784,0.795328,0.46784
5.235923,0.0,0.842112,0.514624
5.236659,-0.046784,0.842112,0.514624
5.237395,0.0,0.842112,0.514624
5.238131,0.0,0.842112,0.46784
5.238867,0.0,0.842112,0.46784
5.239603,0.0,0.842112,0.514624
5.240339,0.0,0.842112,0.46784
5.241075,-0.046784,0.842112,0.46784
5.241811,0.0,0.842112,0.46784
5.242548,0.0,0.842112,0.514624
5.243284,0.0,0.842112,0.514624
5.24402,0.0,0.795328,0.46784
5.244756,0.0,0.795328,0.46784
5.245492,0.0,0.795328,0.421056
5.246228,0.0,0.795328,0.46784
5.246964,0.046784,0.795328,0.421056
5.2477,0.046784,0.842112,0.514624
5.248436,0.0,0.842112,0.561408
5.249172,0.0,0.795328,0.514624
5.249908,0.0,0.842112,0.514624
5.250644,0.0,0.888896,0.514624
5.25138,0.046784,0.842112,0.561408
5.252116,0.046784,0.842112,0.46784
5.252852,0.046784,0.842112,0.46784
5.253588,0.0,0.842112,0.46784
5.254324,0.0,0.842112,0.46784
5.25506,-0.046784,0.842112,0.46784
5.255796,0.0,0.795328,0.421056
5.256532,0.0,0.795328,0.514624
5.257268,0.0,0.842112,0.514624
5.258004,-0.046784,0.842112,0.46784
5.25874,0.0,0.842112,0.46784
5.259476,0.0,0.842112,0.46784
