Time,M_x [gauss],M_y [gauss],M_z [gauss]
5.004509,0.3645,0.012,-0.0105
5.014276,0.3405,0.0135,0.0525
5.024043,0.369,0.0045,-0.012
5.03381,0.3405,0.012,0.0435
5.043577,0.3675,0.009,-0.015
5.053346,0.3315,0.0165,0.033
5.063114,0.3825,0.009,-0.009
5.072882,0.3345,0.0105,0.0345
5.082651,0.3735,0.0225,-0.0015
5.092419,0.3465,0.006,0.03
5.102187,0.378,0.0105,0.006
5.111956,0.3375,0.003,0.0345
5.121724,0.3765,0.021,0.009
5.131492,0.3375,0.003,0.03
5.141261,0.3735,0.0255,0.012
5.151029,0.333,-0.0015,0.0135
5.160797,0.3735,0.0255,0.0165
5.170566,0.33,0.0045,0.0195
5.180334,0.381,0.0225,0.0135
5.190102,0.33,0.0015,0.0135
5.199871,0.3795,0.021,0.0225
5.209639,0.3285,0.003,0.0105
5.219407,0.3765,0.0255,0.021
5.229176,0.3285,-0.003,0.0075
5.238944,0.3765,0.027,0.03
5.248712,0.3465,-0.0045,0.0075
5.258481,0.3765,0.024,0.033
5.268249,0.3375,-0.0105,0.0
5.278017,0.3705,0.0255,0.0345
5.287786,0.3495,-0.0015,-0.006
5.297554,0.3705,0.0285,0.042
5.307322,0.3405,0.006,-0.003
5.317091,0.372,0.0255,0.0375
5.326859,0.3405,-0.009,-0.0015
5.336627,0.369,0.0285,0.0465
5.346396,0.3465,-0.003,-0.0135
5.356164,0.363,0.0195,0.051
5.365932,0.357,0.003,-0.012
5.375701,0.3525,0.0255,0.0495
5.385469,0.3615,-0.0075,-0.0135
5.395237,0.354,0.027,0.0465
5.405006,0.363,-0.006,-0.0105
5.414774,0.3525,0.0195,0.0495
5.424542,0.366,0.0075,-0.012
5.434311,0.3435,0.021,0.0495
5.444079,0.369,0.012,-0.0045
5.453847,0.336,0.021,0.0435
5.463616,0.366,0.0075,-0.0105
5.473384,0.3375,0.006,0.039
5.483152,0.363,0.012,-0.0015
5.492921,0.3435,0.015,0.042
5.502689,0.3705,0.018,-0.0045
5.512457,0.3315,0.009,0.0285
5.522226,0.3765,0.0135,-0.0015
5.531994,0.333,0.0075,0.03
5.541762,0.366,0.0165,0.0015
5.551531,0.336,0.006,0.0285
5.561299,0.3795,0.0195,0.009
5.571067,0.3315,0.003,0.0285
5.580836,0.3735,0.0285,0.0075
5.590604,0.336,0.0045,0.0285
5.600372,0.372,0.0255,0.0135
5.610141,0.3405,-0.003,0.012
5.619909,0.381,0.0315,0.0195
5.629677,0.348,-0.006,0.0105
5.639446,0.381,0.0225,0.0285
5.649214,0.339,-0.0015,0.0045
5.658982,0.369,0.0225,0.0165
5.668751,0.3345,-0.0075,0.0045
