Time,M_x [gauss],M_y [gauss],M_z [gauss]
5.002844,0.291,-0.1005,-0.2025
5.012606,0.285,-0.0795,-0.1425
5.022368,0.2955,-0.105,-0.2085
5.032129,0.2805,-0.0795,-0.1395
5.041891,0.3,-0.093,-0.207
5.051655,0.282,-0.087,-0.144
5.061419,0.3015,-0.096,-0.1995
5.071183,0.279,-0.0795,-0.1455
5.080946,0.3075,-0.09,-0.2085
5.09071,0.2745,-0.087,-0.1485
5.100474,0.312,-0.0855,-0.201
5.110238,0.2775,-0.09,-0.1545
5.120002,0.315,-0.0915,-0.189
5.129766,0.2715,-0.0885,-0.1515
5.13953,0.3105,-0.0765,-0.192
5.149293,0.2805,-0.0885,-0.1545
5.159057,0.312,-0.0765,-0.189
5.168821,0.2745,-0.0975,-0.153
5.178585,0.321,-0.078,-0.195
5.188349,0.264,-0.099,-0.1605
5.198113,0.306,-0.0765,-0.18
5.207877,0.27,-0.0975,-0.1635
5.21764,0.312,-0.072,-0.1755
5.227404,0.273,-0.0975,-0.1725
5.237168,0.3105,-0.0765,-0.1725
5.246932,0.2715,-0.0975,-0.171
5.256696,0.309,-0.066,-0.168
5.26646,0.2715,-0.1065,-0.183
5.276224,0.3075,-0.075,-0.1635
5.285987,0.2685,-0.102,-0.183
5.295751,0.309,-0.066,-0.1515
5.305515,0.282,-0.105,-0.1845
5.315279,0.3015,-0.066,-0.153
5.325043,0.282,-0.0975,-0.1965
5.334807,0.2955,-0.066,-0.147
5.344571,0.291,-0.1005,-0.1995
5.354334,0.297,-0.0705,-0.147
5.364098,0.2925,-0.1035,-0.1935
5.373862,0.291,-0.069,-0.144
5.383626,0.2955,-0.102,-0.204
5.39339,0.291,-0.078,-0.1455
5.403154,0.2865,-0.1035,-0.204
5.412918,0.2895,-0.0705,-0.135
5.422681,0.2835,-0.1035,-0.21
5.432445,0.282,-0.0675,-0.141
5.442209,0.3,-0.096,-0.204
5.451973,0.288,-0.075,-0.1395
5.461737,0.306,-0.09,-0.2055
5.471501,0.279,-0.0795,-0.1455
5.481265,0.3,-0.099,-0.2055
5.491029,0.267,-0.09,-0.1455
5.500792,0.3045,-0.102,-0.204
5.510556,0.2775,-0.0855,-0.1455
5.52032,0.306,-0.09,-0.1995
5.530084,0.267,-0.0795,-0.1485
5.539848,0.321,-0.0855,-0.1965
5.549612,0.2655,-0.087,-0.147
5.559376,0.315,-0.0825,-0.1965
5.569139,0.27,-0.096,-0.1635
5.578903,0.309,-0.0765,-0.1905
5.588667,0.2715,-0.0975,-0.1695
5.598431,0.312,-0.075,-0.1905
5.608195,0.2655,-0.096,-0.168
5.617959,0.312,-0.0795,-0.18
5.627723,0.2685,-0.1035,-0.168
5.637486,0.3135,-0.0795,-0.1785
5.64725,0.276,-0.1065,-0.1785
5.657014,0.3135,-0.081,-0.1605
5.666778,0.267,-0.102,-0.1755
5.676542,0.315,-0.072,-0.1635
5.686306,0.273,-0.096,-0.18
5.69607,0.3015,-0.0705,-0.1575
5.705833,0.2775,-0.0945,-0.1875
5.715597,0.309,-0.0705,-0.1575
5.725361,0.2715,-0.0945,-0.1875
5.735125,0.3,-0.0735,-0.15
5.744889,0.279,-0.108,-0.1905
5.754653,0.2955,-0.0735,-0.1485
5.764417,0.285,-0.099,-0.195
5.77418,0.303,-0.0645,-0.147
5.783944,0.2895,-0.105,-0.192
5.793708,0.2835,-0.066,-0.1455
5.803472,0.2805,-0.0945,-0.198
5.813236,0.2895,-0.072,-0.144
5.823,0.2895,-0.105,-0.201
5.832764,0.2925,-0.0705,-0.141
5.842527,0.3,-0.0975,-0.1965
5.852291,0.2835,-0.0735,-0.144
5.862055,0.297,-0.1035,-0.2055
5.871819,0.2865,-0.087,-0.15
5.881583,0.3075,-0.0975,-0.21
5.891347,0.279,-0.0855,-0.1425
5.901111,0.3015,-0.0945,-0.204
5.910874,0.276,-0.084,-0.1425
5.920638,0.2985,-0.0825,-0.201
5.930402,0.264,-0.0855,-0.1425
5.940166,0.3015,-0.0825,-0.201
5.94993,0.2775,-0.096,-0.1515
5.959694,0.309,-0.087,-0.195
5.969458,0.2745,-0.0885,-0.153
5.979222,0.3105,-0.084,-0.1785
5.988985,0.261,-0.096,-0.1575
5.998749,0.312,-0.0795,-0.1905
6.008513,0.2685,-0.093,-0.159
6.018277,0.3195,-0.0705,-0.186
6.028038,0.264,-0.0915,-0.1605
6.037799,0.3075,-0.075,-0.171
6.04756,0.264,-0.102,-0.1605
6.057321,0.306,-0.072,-0.171
6.067082,0.27,-0.1035,-0.168
6.076843,0.309,-0.075,-0.171
6.086604,0.273,-0.1035,-0.174
6.096365,0.318,-0.069,-0.1605
6.106126,0.273,-0.1005,-0.1785
6.115887,0.3075,-0.0705,-0.162
6.125648,0.27,-0.102,-0.186
6.13541,0.303,-0.072,-0.153
6.145171,0.2865,-0.1065,-0.189
6.154932,0.3,-0.072,-0.153
6.164693,0.276,-0.105,-0.186
6.174454,0.306,-0.069,-0.1575
6.184215,0.2865,-0.111,-0.1995
6.193976,0.282,-0.066,-0.144
6.203737,0.2925,-0.093,-0.1965
6.213498,0.2955,-0.0705,-0.138
6.223259,0.297,-0.105,-0.198
6.23302,0.285,-0.0705,-0.144
6.242781,0.2835,-0.102,-0.201
6.252542,0.288,-0.0675,-0.1425
6.262303,0.294,-0.1005,-0.201
6.272064,0.282,-0.0735,-0.129
6.281825,0.297,-0.093,-0.1995
6.291586,0.2865,-0.0735,-0.141
6.301347,0.3045,-0.096,-0.204
6.311108,0.276,-0.0825,-0.144
6.320869,0.315,-0.09,-0.201
6.33063,0.2805,-0.0795,-0.144
6.340391,0.3075,-0.0945,-0.195
6.350153,0.2685,-0.09,-0.1485
6.359914,0.303,-0.0855,-0.195
6.369675,0.273,-0.0795,-0.1485
6.379436,0.3165,-0.084,-0.1905
6.389197,0.2655,-0.0945,-0.153
6.398958,0.312,-0.078,-0.195
6.408719,0.273,-0.0915,-0.1575
6.41848,0.3075,-0.0795,-0.1905
6.428241,0.2715,-0.096,-0.156
6.438002,0.3105,-0.0705,-0.1845
6.447763,0.2745,-0.096,-0.1605
6.457524,0.315,-0.0765,-0.1815
6.467285,0.273,-0.1035,-0.1725
6.477046,0.312,-0.0735,-0.1725
6.486807,0.2715,-0.1035,-0.177
6.496568,0.3165,-0.072,-0.174
6.506329,0.27,-0.0975,-0.174
6.51609,0.312,-0.0705,-0.165
6.525851,0.27,-0.1005,-0.1785
6.535612,0.3075,-0.0675,-0.1635
6.545373,0.2685,-0.099,-0.1785
6.555135,0.303,-0.072,-0.1605
6.564896,0.276,-0.099,-0.1845
6.574657,0.3015,-0.066,-0.153
6.584418,0.282,-0.108,-0.1905
6.594179,0.294,-0.0645,-0.153
6.60394,0.297,-0.1095,-0.1965
6.613701,0.291,-0.0645,-0.15
6.623462,0.297,-0.1005,-0.201
6.633223,0.2955,-0.072,-0.141
6.642984,0.294,-0.0945,-0.198
6.652745,0.2865,-0.072,-0.144
6.662506,0.3,-0.1005,-0.1995
6.672267,0.2955,-0.0705,-0.141
6.682028,0.297,-0.096,-0.204
6.691789,0.291,-0.0735,-0.1395
6.70155,0.2985,-0.096,-0.2055
6.711311,0.2895,-0.075,-0.1365
6.721072,0.3015,-0.096,-0.21
6.730833,0.279,-0.0825,-0.138
6.740594,0.3075,-0.093,-0.2025
6.750355,0.279,-0.078,-0.141
6.760117,0.2955,-0.087,-0.2025
6.769878,0.279,-0.084,-0.1395
6.779639,0.315,-0.09,-0.201
6.7894,0.2715,-0.0885,-0.1485
6.799161,0.306,-0.0855,-0.1875
6.808922,0.2655,-0.0915,-0.1575
6.818683,0.3105,-0.09,-0.189
6.828444,0.2715,-0.0855,-0.1605
6.838205,0.306,-0.0765,-0.183
6.847966,0.27,-0.096,-0.159
6.857727,0.312,-0.0885,-0.1815
6.867488,0.2685,-0.1005,-0.1665
6.877249,0.3135,-0.078,-0.183
6.88701,0.2655,-0.0975,-0.168
6.896771,0.318,-0.0765,-0.18
6.906532,0.27,-0.102,-0.1695
6.916293,0.3105,-0.0765,-0.162
6.926054,0.2745,-0.105,-0.1725
6.935815,0.309,-0.078,-0.174
6.945576,0.2745,-0.1005,-0.183
6.955337,0.3135,-0.0645,-0.159
6.965098,0.282,-0.108,-0.1875
6.97486,0.309,-0.069,-0.159
6.984621,0.2835,-0.105,-0.186
6.994382,0.297,-0.0675,-0.1515
7.004151,0.282,-0.1005,-0.195
7.013921,0.2985,-0.063,-0.147
7.02369,0.291,-0.111,-0.198
7.03346,0.2865,-0.0765,-0.147
7.043229,0.288,-0.105,-0.1995
7.052999,0.2865,-0.069,-0.1365
7.062768,0.2925,-0.1005,-0.198
7.072538,0.285,-0.0615,-0.138
7.082307,0.2895,-0.102,-0.201
7.092077,0.2865,-0.0645,-0.1365
7.101846,0.3,-0.096,-0.2085
7.111616,0.2865,-0.0705,-0.1395
7.121386,0.2985,-0.099,-0.204
7.131155,0.282,-0.0765,-0.132
7.140925,0.303,-0.09,-0.2025
7.150694,0.2835,-0.0795,-0.144
7.160464,0.297,-0.0945,-0.2025
7.170233,0.2805,-0.0825,-0.1395
7.180003,0.309,-0.09,-0.201
7.189772,0.276,-0.0825,-0.1485
7.199542,0.3105,-0.084,-0.1965
7.209311,0.2715,-0.087,-0.138
7.219081,0.315,-0.084,-0.1875
7.22885,0.2775,-0.09,-0.147
7.23862,0.312,-0.075,-0.1905
7.248389,0.2775,-0.0885,-0.1425
7.258159,0.315,-0.087,-0.1845
7.267929,0.2745,-0.096,-0.1485
7.277698,0.3105,-0.0825,-0.186
7.287468,0.273,-0.09,-0.153
7.297237,0.3195,-0.078,-0.1845
7.307007,0.2655,-0.1005,-0.1635
7.316776,0.3075,-0.0795,-0.1755
7.326546,0.264,-0.1005,-0.1605
7.336315,0.3105,-0.072,-0.1755
7.346085,0.273,-0.105,-0.1755
7.355854,0.309,-0.0645,-0.162
7.365624,0.27,-0.1035,-0.174
7.375393,0.306,-0.078,-0.168
7.385163,0.276,-0.111,-0.1785
7.394932,0.306,-0.0705,-0.156
7.404702,0.273,-0.105,-0.186
7.414472,0.3075,-0.0675,-0.1485
7.424241,0.2805,-0.105,-0.1935
7.434011,0.297,-0.072,-0.147
7.44378,0.2925,-0.105,-0.201
7.45355,0.294,-0.063,-0.153
7.463319,0.291,-0.105,-0.198
7.473089,0.285,-0.0735,-0.147
7.482858,0.2835,-0.1065,-0.2025
7.492628,0.2955,-0.0705,-0.156
7.502397,0.2925,-0.1035,-0.1995
7.512167,0.285,-0.0675,-0.1485
7.521936,0.297,-0.1005,-0.2025
7.531706,0.288,-0.069,-0.138
7.541475,0.288,-0.108,-0.204
7.551245,0.2805,-0.0765,-0.1395
